City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Alfred,ZA,-33.5906,26.891,62.19,86,32,4.0,scattered clouds
1,Busselton,AU,-33.65,115.3333,70.05,39,100,9.13,overcast clouds
2,Naze,JP,28.3667,129.4833,67.12,61,9,11.81,clear sky
3,Yangambi,CD,0.8102,24.4336,69.48,99,97,1.79,light rain
4,Cayenne,GF,4.9333,-52.3333,78.84,89,0,3.44,clear sky
5,Fairbanks,US,64.8378,-147.7164,15.6,81,40,4.61,scattered clouds
6,Romny,UA,50.751,33.4747,34.79,95,6,7.2,clear sky
7,Indramayu,ID,-6.3264,108.32,81.93,73,100,3.33,light rain
8,Kapaa,US,22.0752,-159.319,80.92,62,20,13.8,few clouds
9,Sabang,ID,5.8933,95.3214,80.64,79,100,21.41,moderate rain
10,Pacific Grove,US,36.6177,-121.9166,65.88,70,0,5.01,clear sky
11,Katherine,AU,-14.4667,132.2667,88.12,66,40,5.75,scattered clouds
12,Albany,US,42.6001,-73.9662,33.17,83,100,4.52,snow
13,Vardo,NO,70.3705,31.1107,39.18,87,75,20.71,broken clouds
14,Jamestown,US,42.097,-79.2353,33.39,78,100,6.91,light snow
15,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,18.41,broken clouds
16,Coachella,US,33.6803,-116.1739,73.35,17,0,7.0,clear sky
17,Hithadhoo,MV,-0.6,73.0833,81.57,76,99,13.09,overcast clouds
18,Dalvik,IS,65.9702,-18.5286,46.33,97,100,6.73,overcast clouds
19,Plettenberg Bay,ZA,-34.0527,23.3716,63.84,76,100,5.5,overcast clouds
20,Bud,US,39.447,-86.1758,38.34,93,100,10.02,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,50.11,53,40,20.71,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,66.78,93,62,15.01,broken clouds
23,Kaitangata,NZ,-46.2817,169.8464,65.01,63,99,6.76,overcast clouds
24,Mataura,NZ,-46.1927,168.8643,74.95,40,100,3.4,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,51.46,62,0,3.44,clear sky
26,Rikitea,PF,-23.1203,-134.9692,74.8,82,80,17.74,broken clouds
27,San Quintin,MX,30.4833,-115.95,62.44,59,0,8.1,clear sky
28,Ajdabiya,LY,30.7554,20.2263,61.54,79,0,1.48,clear sky
29,Vao,NC,-22.6667,167.4833,74.79,79,75,6.87,broken clouds
30,Kisangani,CD,0.5167,25.2,69.4,99,100,1.81,overcast clouds
31,Hobart,AU,-42.8794,147.3294,51.66,62,100,18.41,overcast clouds
32,Prescott,US,34.54,-112.4685,46.18,36,15,1.99,few clouds
33,Vaini,TO,-21.2,-175.2,82.56,78,20,6.91,few clouds
34,Chalus,IR,36.655,51.4204,53.06,87,40,4.61,scattered clouds
35,Faanui,PF,-16.4833,-151.75,79.83,73,100,4.43,overcast clouds
36,Chokurdakh,RU,70.6333,147.9167,-35.93,100,52,2.06,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,-2.15,84,20,6.98,few clouds
38,Mahebourg,MU,-20.4081,57.7,68.25,63,70,8.7,light rain
39,Riyadh,SA,24.6877,46.7219,66.34,32,0,8.55,clear sky
40,Harper,LR,4.375,-7.7169,77.11,86,14,3.56,few clouds
41,Berlevag,NO,70.8578,29.0864,41.0,87,100,27.63,overcast clouds
42,Owerri,NG,5.4833,7.0304,74.39,91,100,3.29,overcast clouds
43,Lazaro Cardenas,MX,17.9583,-102.2,78.13,83,99,3.15,overcast clouds
44,Castro,BR,-24.7911,-50.0119,56.84,66,0,3.69,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,65.08,67,0,1.01,clear sky
46,San Cristobal,VE,7.7669,-72.225,69.98,98,85,2.42,overcast clouds
47,Butaritari,KI,3.0707,172.7902,81.68,76,9,15.79,clear sky
48,Cherskiy,RU,68.75,161.3,-16.96,95,100,4.47,overcast clouds
49,Constitucion,CL,-35.3333,-72.4167,57.31,83,0,14.16,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,60.94,81,76,5.06,broken clouds
51,Pimenta Bueno,BR,-11.6725,-61.1936,71.19,93,100,3.09,overcast clouds
52,Provideniya,RU,64.3833,-173.3,33.91,60,100,31.32,overcast clouds
53,Flin Flon,CA,54.7682,-101.865,15.64,92,100,10.36,overcast clouds
54,Cotonou,BJ,6.3654,2.4183,82.38,83,40,9.22,scattered clouds
55,Rorvik,NO,64.8621,11.2373,41.11,56,0,12.66,clear sky
56,Saskylakh,RU,71.9167,114.0833,-19.08,97,93,6.62,overcast clouds
57,Aklavik,CA,68.2191,-135.0107,0.03,93,14,7.74,few clouds
58,Piacabucu,BR,-10.4056,-36.4344,76.51,86,18,9.22,few clouds
59,Beipiao,CN,41.7919,120.7792,37.33,57,0,4.36,clear sky
60,Saint George,US,37.1041,-113.5841,48.79,24,0,26.46,clear sky
61,Tilichiki,RU,60.4667,166.1,25.05,97,100,7.76,snow
62,Padang,ID,-0.9492,100.3543,75.25,84,100,3.69,overcast clouds
63,Marang,MY,5.2056,103.2059,83.97,86,90,2.98,overcast clouds
64,Bartica,GY,6.4,-58.6167,79.12,99,94,2.33,overcast clouds
