City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bambous Virieux,MU,2022-11-15 17:54:25,-20.3428,57.7575,71.85,64,40,6.91
1,Riyadh,SA,2022-11-15 17:52:40,24.6877,46.7219,77.14,24,0,8.86
2,Vanderhoof,CA,2022-11-15 17:54:26,54.0166,-124.0198,28.08,90,100,1.07
3,Amahai,ID,2022-11-15 17:54:27,-3.3333,128.9167,79.72,81,94,2.91
4,Poceirao,PT,2022-11-15 17:54:27,38.831,-8.7937,63.54,91,100,7.52
5,East London,ZA,2022-11-15 17:54:27,-33.0153,27.9116,67.14,82,40,11.5
6,Bengkulu,ID,2022-11-15 17:54:28,-3.8004,102.2655,75.54,87,100,8.81
7,Port Alfred,ZA,2022-11-15 17:54:28,-33.5906,26.891,65.17,87,94,7.0
8,Hamilton,US,2022-11-15 17:52:07,39.1834,-84.5333,43.0,79,100,1.99
9,Eureka,US,2022-11-15 17:50:16,40.8021,-124.1637,48.25,100,0,1.01
10,Grande Prairie,CA,2022-11-15 17:51:13,55.1667,-118.8027,32.18,69,75,9.22
11,Pembroke,CA,2022-11-15 17:54:30,45.8168,-77.1162,30.18,69,95,3.49
12,Andenes,NO,2022-11-15 17:54:31,69.3143,16.1194,30.18,93,0,10.36
13,Guerrero Negro,MX,2022-11-15 17:54:31,27.9769,-114.0611,68.59,30,89,1.12
14,Avarua,CK,2022-11-15 17:54:32,-21.2078,-159.775,73.45,68,96,6.91
15,Westport,US,2022-11-15 17:50:30,41.1415,-73.3579,46.94,51,100,6.91
16,Bluff,NZ,2022-11-15 17:54:32,-46.6,168.3333,58.8,74,96,2.82
17,Busselton,AU,2022-11-15 17:54:33,-33.65,115.3333,54.39,88,17,9.08
18,Albany,US,2022-11-15 17:52:35,42.6001,-73.9662,38.68,53,69,3.56
19,Pietarsaari,FI,2022-11-15 17:54:34,63.65,22.6833,35.89,76,84,8.23
20,Ponta Do Sol,PT,2022-11-15 17:54:35,32.6667,-17.1,73.0,85,98,4.99
21,Jamestown,US,2022-11-15 17:52:21,42.097,-79.2353,36.99,61,100,17.27
22,Yarmouth,US,2022-11-15 17:54:36,41.7057,-70.2286,47.98,58,20,8.05
23,Castro,BR,2022-11-15 17:54:36,-24.7911,-50.0119,73.45,39,0,9.33
24,Cape Town,ZA,2022-11-15 17:49:46,-33.9258,18.4232,67.26,81,75,11.5
25,Vaini,TO,2022-11-15 17:54:37,-21.2,-175.2,69.96,100,20,2.3
26,Thompson,CA,2022-11-15 17:54:37,55.7435,-97.8558,3.36,85,20,2.3
27,Vila,PT,2022-11-15 17:54:37,42.0304,-8.1588,47.28,91,89,5.95
28,Maxixe,MZ,2022-11-15 17:54:38,-23.8597,35.3472,75.02,60,20,5.99
29,Xucheng,CN,2022-11-15 17:54:39,20.35,110.1288,73.98,92,13,9.22
30,Vostok,RU,2022-11-15 17:54:39,46.4856,135.8833,11.28,94,33,3.6
31,Punta Arenas,CL,2022-11-15 17:54:39,-53.15,-70.9167,62.62,54,0,23.02
32,Barrow,US,2022-11-15 17:54:40,71.2906,-156.7887,24.82,86,100,31.07
33,Pisco,PE,2022-11-15 17:53:29,-13.7,-76.2167,69.85,73,0,11.5
34,Ribeira Grande,PT,2022-11-15 17:54:41,38.5167,-28.7,66.78,94,75,19.57
35,Sola,VU,2022-11-15 17:54:41,-13.8833,167.55,80.76,71,0,1.95
36,New Norfolk,AU,2022-11-15 17:54:42,-42.7826,147.0587,45.9,82,100,3.0
37,Airai,TL,2022-11-15 17:54:42,-8.9266,125.4092,62.62,91,100,0.6
38,Saint-Augustin,CA,2022-11-15 17:54:43,51.226,-58.6502,28.38,68,98,9.66
39,College,US,2022-11-15 17:54:43,64.8569,-147.8028,15.75,85,100,3.44
40,Nikolskoye,RU,2022-11-15 17:54:44,59.7035,30.7861,33.8,86,100,8.25
41,Ibra,OM,2022-11-15 17:54:44,22.6906,58.5334,74.07,49,0,4.54
42,Ulundi,ZA,2022-11-15 17:54:45,-28.3352,31.4162,65.66,82,3,2.21
43,Yar-Sale,RU,2022-11-15 17:55:46,66.8333,70.8333,-11.33,96,18,3.15
44,Moerai,PF,2022-11-15 17:55:46,-22.4333,-151.3333,70.61,68,100,12.5
45,Padang,ID,2022-11-15 17:55:47,-0.9492,100.3543,75.78,86,99,4.72
46,Mataura,NZ,2022-11-15 17:55:47,-46.1927,168.8643,58.48,66,94,1.36
47,Provideniya,RU,2022-11-15 17:55:48,64.3833,-173.3,28.51,92,100,16.71
48,Kaitangata,NZ,2022-11-15 17:55:48,-46.2817,169.8464,56.82,77,100,1.7
49,Gijon,ES,2022-11-15 17:55:49,43.5357,-5.6615,60.44,77,33,8.99
50,Dikson,RU,2022-11-15 17:55:49,73.5069,80.5464,-8.66,99,14,6.11
51,Tiksi,RU,2022-11-15 17:55:50,71.6872,128.8694,-16.44,97,100,8.28
52,Bredasdorp,ZA,2022-11-15 17:55:50,-34.5322,20.0403,65.39,65,76,16.06
53,Port Elizabeth,ZA,2022-11-15 17:55:51,-33.918,25.5701,64.69,83,0,19.57
54,Yellowknife,CA,2022-11-15 17:55:01,62.456,-114.3525,25.32,80,100,19.57
55,Constitucion,CL,2022-11-15 17:55:52,-35.3333,-72.4167,69.04,60,93,17.45
56,Atuona,PF,2022-11-15 17:55:52,-9.8,-139.0333,77.52,74,4,17.9
57,Chokurdakh,RU,2022-11-15 17:55:52,70.6333,147.9167,-33.88,100,62,2.04
58,Muskogee,US,2022-11-15 17:53:11,35.5834,-95.3336,38.97,82,98,9.4
59,Narsaq,GL,2022-11-15 17:55:53,60.9167,-46.05,28.78,97,100,0.89
60,Vestmannaeyjar,IS,2022-11-15 17:55:54,63.4427,-20.2734,49.19,93,100,26.46
61,Neuquen,AR,2022-11-15 17:55:54,-38.9516,-68.0591,78.69,31,0,2.3
62,Hasaki,JP,2022-11-15 17:55:55,35.7333,140.8333,46.22,73,57,9.8
63,Rikitea,PF,2022-11-15 17:55:55,-23.1203,-134.9692,74.48,79,100,18.03
64,Georgetown,MY,2022-11-15 17:52:20,5.4112,100.3354,78.89,93,20,2.3
65,Hobart,AU,2022-11-15 17:55:56,-42.8794,147.3294,46.26,78,100,12.66
66,Cidreira,BR,2022-11-15 17:55:56,-30.1811,-50.2056,77.94,44,0,12.66
67,Ponta Delgada,PT,2022-11-15 17:55:57,37.7333,-25.6667,66.51,77,40,18.41
68,Kapaa,US,2022-11-15 17:55:57,22.0752,-159.319,69.1,74,66,1.99
69,Ushuaia,AR,2022-11-15 17:55:58,-54.8,-68.3,62.26,29,20,19.57
70,Joensuu,FI,2022-11-15 17:55:58,62.6012,29.7632,28.89,86,100,6.91
71,Puerto Ayora,EC,2022-11-15 17:55:59,-0.7393,-90.3518,76.96,81,72,5.99
72,Torbay,CA,2022-11-15 17:56:00,47.6666,-52.7314,39.76,75,75,19.57
73,Ghanzi,BW,2022-11-15 17:56:00,-21.5667,21.7833,83.37,31,20,10.25
74,Victoria,HK,2022-11-15 17:53:27,22.2855,114.1577,75.38,85,0,8.01
75,Straumen,NO,2022-11-15 17:56:01,63.8709,11.2999,41.0,70,0,5.82
76,Tasiilaq,GL,2022-11-15 17:56:01,65.6145,-37.6368,20.57,70,71,5.75
77,Butaritari,KI,2022-11-15 17:56:02,3.0707,172.7902,80.02,82,86,16.53
78,Sitka,US,2022-11-15 17:56:02,57.0531,-135.33,44.87,90,100,4.41
79,Kavieng,PG,2022-11-15 17:56:03,-2.5744,150.7967,81.52,71,82,13.24
80,Puerto Baquerizo Moreno,EC,2022-11-15 17:56:04,-0.9,-89.6,72.59,73,100,9.22
81,Hilo,US,2022-11-15 17:56:04,19.7297,-155.09,76.62,85,83,3.0
82,Whitianga,NZ,2022-11-15 17:56:05,-36.8333,175.7,61.21,95,33,4.74
83,Alyangula,AU,2022-11-15 17:56:05,-13.8483,136.4192,82.35,75,97,4.38
84,Carnarvon,AU,2022-11-15 17:56:06,-24.8667,113.6333,71.53,68,0,13.71
85,Salalah,OM,2022-11-15 17:56:07,17.0151,54.0924,76.26,61,1,1.16
86,Hermanus,ZA,2022-11-15 17:56:07,-34.4187,19.2345,66.79,76,81,15.32
87,Svetlogorsk,BY,2022-11-15 17:56:08,52.6333,29.7333,36.32,93,58,5.75
88,Bethel,US,2022-11-15 17:57:08,41.3712,-73.414,43.02,52,81,1.01
89,Marrakesh,MA,2022-11-15 17:57:09,31.6315,-8.0083,77.07,23,0,4.61
90,Sistranda,NO,2022-11-15 17:57:09,63.7256,8.834,44.56,57,2,25.01
91,Hualmay,PE,2022-11-15 17:57:09,-11.0964,-77.6139,69.6,70,29,10.16
92,Hithadhoo,MV,2022-11-15 17:57:10,-0.6,73.0833,81.48,77,97,14.47
93,Bowen,AU,2022-11-15 17:57:11,-20.0167,148.2333,76.95,77,98,3.44
94,Saint-Michel-Des-Saints,CA,2022-11-15 17:52:44,46.6834,-73.9159,29.93,46,74,1.99
95,Hervey Bay,AU,2022-11-15 17:57:11,-25.2986,152.8535,71.13,52,96,6.46
96,Esperance,AU,2022-11-15 17:57:12,-33.8667,121.9,53.53,79,0,15.1
97,Beringovskiy,RU,2022-11-15 17:57:13,63.05,179.3167,35.38,97,100,25.21
98,Kozhva,RU,2022-11-15 17:57:13,65.1073,57.0459,-16.87,100,53,1.74
99,Abha,SA,2022-11-15 17:57:14,18.2164,42.5053,60.62,82,0,8.05
100,Blackwater,AU,2022-11-15 17:57:14,-23.5833,148.8833,71.64,37,91,9.48
101,Vanimo,PG,2022-11-15 17:57:15,-2.6741,141.3028,75.61,88,99,1.41
102,Port Blair,IN,2022-11-15 17:57:15,11.6667,92.75,77.04,88,75,2.3
103,Olot,ES,2022-11-15 17:57:16,42.181,2.4901,66.18,47,97,3.0
104,Qaanaaq,GL,2022-11-15 17:57:16,77.484,-69.3632,-1.57,71,47,5.86
105,Sambava,MG,2022-11-15 17:57:17,-14.2667,50.1667,73.58,87,11,6.46
106,The Valley,AI,2022-11-15 17:57:18,18.217,-63.0578,85.86,70,20,16.11
107,Musafirkhana,IN,2022-11-15 17:57:19,26.3667,81.8,68.13,48,0,5.88
108,Sibolga,ID,2022-11-15 17:57:19,1.7427,98.7792,74.23,95,100,2.01
109,Ostrovnoy,RU,2022-11-15 17:57:20,68.0531,39.5131,37.98,81,100,18.34
110,Pangody,RU,2022-11-15 17:57:21,65.85,74.4859,-13.86,95,9,7.18
111,Takaka,NZ,2022-11-15 17:57:22,-40.85,172.8,53.56,54,72,2.8
112,Nanortalik,GL,2022-11-15 17:57:22,60.1432,-45.2371,30.42,92,100,15.03
113,Broome,US,2022-11-15 17:57:23,42.2506,-75.833,37.71,68,99,3.0
114,Hofn,IS,2022-11-15 17:57:23,64.2539,-15.2082,46.0,94,100,16.28
115,Arraial Do Cabo,BR,2022-11-15 17:57:24,-22.9661,-42.0278,84.16,78,75,8.05
116,Liwale,TZ,2022-11-15 17:57:24,-9.7667,37.9333,76.33,60,34,8.72
117,Siuna,NI,2022-11-15 17:57:25,13.7332,-84.7773,84.76,64,95,5.57
118,Ekhabi,RU,2022-11-15 17:57:25,53.5102,142.9671,16.16,88,26,9.44
119,Lasa,IT,2022-11-15 17:57:26,46.6166,10.7002,43.02,97,95,3.22
